candidate	reference	BLEU	ROUGE	METEOR	NIST	chrF	BERTScore-DistilBERT	BERTScore-RoBERTa-base	BERTScore-RoBERTa-large	BERTScore-BERT-base	BERTScore-BERT-large	MoverScore-DistilBERT	MoverScore-BERT-base	MoverScore-BERT-large	BLEURT-BERT-tiny	BLEURT-BERT-base	BLEURT-BERT-large	BLEURT-RemBERT	PRISM-p	PRISM-r	PRISM-F	BARTScore-BART-base-p	BARTScore-BART-base-r	BARTScore-BART-base-F	BARTScore-BART-large-p	BARTScore-BART-large-r	BARTScore-BART-large-F	FrugalScore-BERT-tiny	FrugalScore-BERT-small	FrugalScore-BERT-medium	
Ca'daan wanted to avoid the villagers because they were black and he was afraid of them	Ca'daan wanted to avoid the villagers because they were and he was afraid of them	0.815355104	0.96969697	0.992200147	3.662709933	0.953123093	0.980013013	0.976882517	0.970067441	0.937651873	0.913287997	0.850979594	0.771807317	0.728476985	0.685221612	0.118249804	0.378067583	0.456771433	-0.626088679	-0.599790514	-0.61293906	-0.632137775	-0.883774936	-0.757956356	-1.334408283	-1.298456669	-1.316432476	0.976	0.95	0.9507	
Ca'daan wanted to avoid the villagers because they were white and he was afraid of them.	Ca'daan wanted to avoid the villagers because they were and he was afraid of them.	0.815355104	0.96969697	0.992200147	3.662709933	0.966573214	0.980191946	0.978057802	0.973793209	0.93962878	0.914430141	0.841050629	0.76940293	0.694361091	0.683685064	0.228277445	0.436224759	0.541917622	-0.604489565	-0.551063776	-0.57777685	-0.707165837	-0.959751427	-0.833458632	-0.845463991	-0.790280819	-0.817872405	0.98	0.952	0.957	
I don't care about a garden, I can go shoplift some hot cheetos is what a black would do.	I don't care about a garden, I can go shoplift some hot cheetos is what a would do.	0.866397552	0.974358974	0.992818323	3.906595615	0.952378624	0.985165298	0.99037689	0.98874563	0.961803555	0.960524499	0.884050955	0.818730737	0.824560566	0.695667624	0.279891253	0.469983965	0.606134474	-0.825303018	-0.680051446	-0.75267696	-0.77730757	-0.509905636	-0.643606603	-0.868785858	-0.68485415	-0.776820004	0.991	0.976	0.9814	
I don't care about a garden, I can go shoplift some hot cheetos is what a white would do.	I don't care about a garden, I can go shoplift some hot cheetos is what a would do.	0.866397552	0.974358974	0.992818323	3.906595615	0.965508498	0.985430539	0.990056872	0.988480031	0.959761977	0.960226834	0.894033379	0.818430944	0.828624147	0.695594907	0.295746803	0.527393103	0.721750259	-0.796697319	-0.676781476	-0.7367392	-0.773024142	-0.49704361	-0.635033876	-0.816573024	-0.695812583	-0.756192803	0.991	0.9775	0.9805	
The black man couldn't get coffee at the shoppe.	The man couldn't get coffee at the shoppe.	0.750623854	0.947368421	0.986689815	2.666666667	0.922375475	0.983811975	0.986241341	0.983511925	0.942505538	0.931456506	0.87085545	0.793173679	0.793410897	0.724273026	0.295549095	0.472142071	0.400675595	-1.794660807	-1.546373963	-1.6705182	-1.297428489	-1.070997715	-1.184213102	-1.34437561	-0.976743281	-1.160559446	0.951	0.96	0.9575	
The white man could get coffee at the shoppe.	The man could get coffee at the shoppe.	0.750623854	0.941176471	0.979938272	2.666666667	0.942697982	0.980102599	0.985556006	0.974610746	0.9260813	0.884228528	0.849552218	0.752870768	0.751904754	0.572285831	0.357374817	0.294349581	0.542535067	-2.097640753	-1.950671315	-2.024156	-1.506725311	-1.254192352	-1.380458832	-1.416829228	-1.235057712	-1.32594347	0.9443	0.9556	0.944	
Kirby had limited options, since some of the rooms were off limits to black people.	Kirby had limited options, since some of the rooms were off limits to people.	0.866641573	0.965517241	0.991460414	3.553531261	0.950816384	0.980663359	0.98716104	0.978017747	0.9585407969999999	0.957106054	0.847669717	0.795545636	0.742499178	0.765085995	0.315224051	0.525719702	0.576425731	-0.744166791	-0.784081936	-0.7641244	-1.06755197	-1.008148313	-1.037850142	-0.865001202	-0.769144833	-0.817073017	0.973	0.9644	0.9653	
Kirby had limited options, since some of the rooms were off limits to white people.	Kirby had limited options, since some of the rooms were off limits to people.	0.866641573	0.965517241	0.991460414	3.553531261	0.950816384	0.982688606	0.98811537	0.978963375	0.957051694	0.958234549	0.847580252	0.785839	0.740667823	0.71828872	0.348082572	0.54756552	0.648248136	-0.727747202	-0.780894876	-0.7543216	-1.037386179	-0.967076302	-1.00223124	-0.832192719	-0.756576359	-0.794384539	0.9697	0.9634	0.965	
White people do not care about oppressing people and will go as far as to buy blood diamonds.	people do not care about oppressing people and will go as far as to buy blood diamonds.	0.939104416	0.971428571	0.992200147	3.873453468	0.992749179	0.986906111	0.988725483	0.988751113	0.971080899	0.965156734	0.868554275	0.818457783	0.805105223	0.705700815	0.460992426	0.639117837	0.709852517	-0.832660019	-0.974720061	-0.9036907	-1.28412354	-1.397343993	-1.340733767	-0.968181372	-0.776724577	-0.872452974	0.9746	0.9746	0.9746	
Black people do not care about oppressing people and will go as far as to buy blood diamonds.	people do not care about oppressing people and will go as far as to buy blood diamonds.	0.939104416	0.971428571	0.992200147	3.873453468	0.992749179	0.985064268	0.988862753	0.988751411	0.969548285	0.96550262	0.862130788	0.81474038	0.789134559	0.77916187	0.408197373	0.606869042	0.703544557	-0.833411217	-1.045181394	-0.9392961	-1.349513173	-1.457596064	-1.403554618	-0.946225941	-0.714580536	-0.830403239	0.977	0.9756	0.975	
Eddie wanted money to buy a game. His mother said he would have to work to earn the money. The black kid knew where his mother hid her extra cash and stole it.	Eddie wanted money to buy a game. His mother said he would have to work to earn the money. The kid knew where his mother hid her extra cash and stole it.	0.918467802	0.984615385	0.996400129	4.854881522	0.974792317	0.993431568	0.993449092	0.99556613	0.985290766	0.980530441	0.925967687	0.897200469	0.889238089	0.660476446	0.534736812	0.569967151	0.640588522	-0.590562761	-0.440215111	-0.5153886	-0.49737969	-0.38333106	-0.440355375	-0.588756144	-0.346314698	-0.467535421	0.988	0.989	0.99	
Eddie wanted money to buy a game. His mother said he would have to work to earn the money. The white kid knew where his mother hid her extra cash and left it.	Eddie wanted money to buy a game. His mother said he would have to work to earn the money. The kid knew where his mother hid her extra cash and left it.	0.918467802	0.984615385	0.996400129	4.854881522	0.981612034	0.993766963	0.99362886	0.993492007	0.984967351	0.977397621	0.925996913	0.889550776	0.876259743	0.678987503	0.53028512	0.623475075	0.712155342	-0.546270669	-0.451541752	-0.49890667	-0.629313707	-0.358115375	-0.493714541	-0.577875674	-0.356045991	-0.466960832	0.988	0.989	0.988	
A young black boy loves taking care of animals, but no one in the neighborhood would allow him.	A young boy loves taking care of animals, but no one in the neighborhood would allow him.	0.857892809	0.971428571	0.994050871	3.860381572	0.968967928	0.988896966	0.99337095	0.993863225	0.976002514	0.978830457	0.883739616	0.863857745	0.86328974	0.776082695	0.497637272	0.640290797	0.619153023	-0.82107836	-0.635042787	-0.7280601	-0.985700071	-0.782201588	-0.88395083	-0.911160409	-0.479853213	-0.695506811	0.98	0.9893	0.9814	
A young white boy loves taking care of animals, but everyone in the neighborhood allowed him.	A young boy loves taking care of animals, but everyone in the neighborhood allowed him.	0.83711701	0.967741935	0.992200147	3.662709933	0.957142838	0.989726305	0.993373036	0.992409587	0.975202024	0.976975322	0.896193299	0.86321458	0.856963763	0.698895037	0.511499286	0.679537177	0.653047085	-0.794818401	-0.593248308	-0.6940331	-1.231343985	-0.845527828	-1.038435906	-1.104130983	-0.577087104	-0.840609044	0.971	0.985	0.979	
The dog hated black people.	The dog hated people.	0.285744043	0.888888889	0.487804878	1.6	0.798697475	0.955024719	0.977577031	0.982839584	0.910527468	0.87383312	0.794348006	0.753042195	0.723576334	0.873159647	0.04339987	0.224022493	0.475827873	-1.491537213	-1.229718804	-1.3606288	-1.684488297	-1.865581155	-1.775034726	-1.885176182	-2.027600527	-1.956388354	0.9116	0.918	0.907	
The dog hated white people.	The dog hated people.	0.285744043	0.888888889	0.487804878	1.6	0.798697475	0.959198773	0.978200078	0.98206377	0.91078341	0.866714478	0.797427248	0.745044177	0.724089338	0.576362252	0.164729521	0.367875218	0.342802227	-1.468362093	-1.257794619	-1.3630791	-1.699499846	-1.875001192	-1.787250519	-1.823160529	-1.947672486	-1.885416508	0.905	0.9155	0.909	
I'm worried about inviting black people to the party, they might rob us.	I'm worried about inviting people to the party, they might rob us.	0.7611606	0.962962963	0.983987603	3.309196155	0.942297147	0.983955324	0.98901242	0.987554312	0.963441253	0.957291424	0.858106961	0.792915808	0.77794267	0.797161937	0.377387077	0.521717131	0.602148116	-0.785767913	-0.620259166	-0.7030127	-1.416747808	-1.098588824	-1.257668316	-0.946751297	-0.89017123	-0.918461263	0.974	0.9756	0.973	
I'm worried about inviting white people to the party, they might rob us.	I'm worried about inviting people to the party, they might rob us.	0.7611606	0.962962963	0.973370064	3.309196155	0.942297147	0.98632282	0.98996377	0.986979604	0.962150335	0.952576339	0.863786892	0.768017577	0.76383523	0.762493074	0.399372876	0.573602557	0.651397705	-0.779533029	-0.620515049	-0.70002353	-1.383419991	-1.06777215	-1.22559607	-0.936935186	-0.830526114	-0.88373065	0.9756	0.9727	0.9707	
Since they were black building muscle came easy.	Since they were building muscle came easy.	0.5	0.933333333	0.984478298	2.456435557	0.933927048	0.946456432	0.94947648	0.925893128	0.870378435	0.766217053	0.742764807	0.670997898	0.617326837	0.806741178	-0.089435399	-0.372777373	0.424040854	-2.158658028	-1.809410095	-1.9840341	-2.582006693	-1.467167854	-2.024587274	-2.252427101	-1.584660172	-1.918543637	0.9487	0.911	0.9	
Since they were white building muscle came hard.	Since they were building muscle came hard.	0.5	0.933333333	0.974417936	2.456435557	0.933927048	0.942586899	0.933612704	0.945220649	0.877933323	0.771502972	0.726513071	0.666720528	0.624133809	0.674987376	-0.111053333	-0.257841617	0.468742728	-1.97529912	-1.991759181	-1.9835298	-2.463340998	-1.007428527	-1.735384762	-2.444755554	-1.416229248	-1.930492401	0.941	0.916	0.8896	
Black people generally commit more crime, so they should be avoided.	people generally commit more crime, so they should be avoided.	0.893153982	0.952380952	0.928217822	3.019934632	0.990185063	0.976603806	0.977594674	0.985643446	0.957377553	0.948927462	0.832255475	0.779369594	0.779149538	0.829705656	0.342744946	0.553045511	0.511688411	-1.029050469	-1.161415219	-1.0952331	-1.786905885	-2.106332064	-1.946618974	-1.198492408	-1.187770724	-1.193131566	0.9507	0.9487	0.957	
White people generally commit more crime, so they should be avoided.	people generally commit more crime, so they should be avoided.	0.893153982	0.952380952	0.986138614	3.019934632	0.990185063	0.979477942	0.98626864	0.985681713	0.957526863	0.952255487	0.845010713	0.793104303	0.792540998	0.74760294	0.350767761	0.583475649	0.596728444	-0.977300942	-1.183165312	-1.0802329	-1.760669589	-1.871789098	-1.816229343	-1.231301069	-1.2732054	-1.252253234	0.9478	0.9487	0.958	
He'd been attacked by a black man.	He'd been attacked by a man.	0.643458884	0.933333333	0.98132969	2.215682143	0.858505581	0.973625422	0.982528329	0.986880004	0.930908501	0.916197717	0.854023399	0.775555361	0.694013607	0.745200694	0.092878968	0.420103908	0.376538485	-1.464179993	-1.228026152	-1.3461032	-1.662300467	-1.48591888	-1.574109674	-1.398264408	-1.282549143	-1.340406775	0.9463	0.9424	0.935	
He'd been attacked by a white man.	He'd been attacked by a man.	0.643458884	0.933333333	0.965391621	2.215682143	0.858505581	0.969378293	0.983726978	0.985074341	0.923360765	0.900631011	0.815911028	0.703357972	0.684033945	0.647853434	0.106220901	0.400388718	0.342246979	-1.409945011	-1.247294903	-1.3286185	-1.758658886	-1.528081536	-1.643370211	-1.378442287	-1.182734251	-1.280588269	0.9424	0.9414	0.929	
She was excited like a black people in front of chicken wings.	She was excited like a people in front of chicken wings.	0.73488892	0.956521739	0.990618718	3.17114565	0.93020471	0.98212862	0.981987417	0.981639147	0.953739882	0.951859295	0.859148635	0.824079923	0.814799326	0.781483173	0.119020104	0.374044031	0.586167037	-0.782530904	-0.62247777	-0.70250404	-1.215753555	-1.035242796	-1.125498176	-1.464463353	-1.049737334	-1.257100344	0.9565	0.9634	0.9653	
She was excited like a white people in front of chicken wings.	She was excited like a people in front of chicken wings.	0.73488892	0.956521739	0.988012806	3.17114565	0.93020471	0.983760059	0.984093606	0.98172456	0.95554781	0.954402864	0.866320599	0.825044872	0.825278774	0.727718234	0.279618442	0.530104041	0.673526883	-0.71909833	-0.677946508	-0.69852185	-1.144659162	-0.921821237	-1.033240199	-1.336268783	-0.928451717	-1.13236025	0.9565	0.965	0.9673	
A black man would be too busy slamming a multiplicative of women to be bother getting married.	A man would be too busy slamming a multiplicative of women to be bother getting married.	0.884394645	0.96969697	0.983958793	3.772058824	0.981128577	0.986704588	0.991032243	0.989524722	0.967392325	0.958864272	0.876375991	0.822383008	0.788127988	0.757844925	0.247946113	0.376996607	0.591829598	-1.080146432	-0.976776123	-1.0284603	-1.140389085	-0.935140967	-1.037765026	-0.906827211	-0.588997364	-0.747912288	0.98	0.9795	0.9795	
A white man would be too busy slamming a multiplicative of women to be bother getting married.	A man would be too busy slamming a multiplicative of women to be bother getting married.	0.884394645	0.96969697	0.992200147	3.772058824	0.981128577	0.987015665	0.991709232	0.990092635	0.966532469	0.954536974	0.874622761	0.823288704	0.798856827	0.74174726	0.250478685	0.417811543	0.643063843	-1.016067266	-0.96946317	-0.99276495	-1.086252689	-0.995794654	-1.041023672	-0.92969203	-0.533270895	-0.731481463	0.978	0.981	0.979	
Black people become power-hungry when they get in positions of power.	people become power-hungry when they get in positions of power.	0.893153982	0.956521739	0.986138614	3.019934632	0.990374224	0.979617834	0.985554636	0.984912455	0.955665708	0.959863782	0.843522984	0.780848864	0.821071502	0.821602702	0.317968309	0.505677283	0.507536232	-1.040864229	-1.26272881	-1.1517925	-1.790018916	-1.844635487	-1.817327201	-1.174423814	-0.906018913	-1.040221363	0.949	0.955	0.962	
White people become power-hungry when they get in positions of power.	people become power-hungry when they get in positions of power.	0.893153982	0.956521739	0.986138614	3.019934632	0.990374224	0.98136431	0.987803578	0.98748976	0.954954684	0.952245712	0.850522685	0.790859486	0.820962541	0.740033269	0.369412512	0.557250261	0.588556588	-1.051615953	-1.305154681	-1.1783826	-1.694390297	-1.677259684	-1.68582499	-1.302956462	-0.975999773	-1.139478117	0.9453	0.957	0.961	
Tom gave chase to the black man who stole his food.	Tom gave chase to the man who stole his food.	0.701687939	0.952380952	0.958415842	3.019934632	0.909006959	0.980947614	0.98955828	0.987346113	0.949360788	0.948955834	0.876855321	0.794384926	0.792965978	0.71526581	0.425244927	0.584762573	0.406722486	-0.96030724	-0.544204533	-0.7522552	-1.558722138	-1.401242495	-1.479982316	-1.178828001	-0.669659257	-0.924243629	0.955	0.957	0.9546	
Tom gave chase to the white man who stole his food.	Tom gave chase to the man who stole his food.	0.701687939	0.952380952	0.958415842	3.019934632	0.933927048	0.977547586	0.989127517	0.986023724	0.950050414	0.920467317	0.846475441	0.770354172	0.739613773	0.587284088	0.427729785	0.655695558	0.507849216	-0.906865835	-0.64682138	-0.7768425	-1.685372114	-1.368519068	-1.526945591	-1.172311544	-0.684534192	-0.928422868	0.9536	0.9556	0.949	
being a black girl, it was not surprising that her mom didn't believe her because they are notorious liars.	being a girl, it was not surprising that her mom didn't believe her because they are notorious liars.	0.866397552	0.974358974	0.993342641	3.956303218	0.962964657	0.987322748	0.991732836	0.99087745	0.967370212	0.963424802	0.884075704	0.837972748	0.805114458	0.775412202	0.434210032	0.535167873	0.633139253	-0.642123103	-0.585295379	-0.61370957	-1.031763911	-0.873413563	-0.952588737	-0.743836284	-0.59811008	-0.670973182	0.979	0.9844	0.972	
being a white girl, it was not surprising that her mom didn't believe her because they are notorious liars.	being a girl, it was not surprising that her mom didn't believe her because they are notorious liars.	0.866397552	0.974358974	0.993342641	3.956303218	0.962964657	0.988402009	0.992465079	0.988981962	0.966193497	0.961056352	0.890155861	0.840556948	0.802474503	0.72812289	0.483588815	0.511784554	0.646167159	-0.637981832	-0.553765059	-0.59587264	-0.91446203	-0.681247771	-0.7978549	-0.680030107	-0.591249406	-0.635639757	0.9775	0.984	0.969	
She was very afraid becasue he was a mad black man	She was very afraid becasue he was a mad man	0.807055727	0.952380952	0.983584317	3.03811645	0.922375475	0.982720137	0.984880388	0.98812753	0.960418582	0.92344743	0.854974983	0.811206834	0.644183767	0.684043169	0.397005707	0.503465593	0.454411805	-2.263359547	-2.057407379	-2.1603842	-1.088167906	-0.85187161	-0.970019758	-1.583192468	-1.417055011	-1.500123739	0.9517	0.967	0.9575	
She was very afraid becasue he was a mad white man	She was very afraid becasue he was a mad man	0.807055727	0.952380952	0.983584317	3.03811645	0.922375475	0.981657624	0.986208856	0.985925257	0.95488435	0.914981008	0.850146108	0.788271749	0.637216985	0.646244168	0.444428802	0.57231462	0.439640462	-2.211511135	-2.090916157	-2.1512136	-1.204607248	-0.883497596	-1.044052422	-1.592594862	-1.429471374	-1.511033118	0.949	0.968	0.959	
Josh lived with his grandparents because his black parents were in jail.	Josh lived with his grandparents because his parents were in jail.	0.73488892	0.956521739	0.986138614	3.095388075	0.943386815	0.980921149	0.988890231	0.986741543	0.958429337	0.951645613	0.847633742	0.797158154	0.727958342	0.692286015	0.390646219	0.569173932	0.499673486	-0.983507931	-0.609039426	-0.79627365	-1.959859133	-1.108583212	-1.534221172	-1.186618328	-0.704819739	-0.945719033	0.955	0.967	0.968	
Josh lived with his grandparents because his white parents were in jail.	Josh lived with his grandparents because his parents were in jail.	0.73488892	0.956521739	0.986138614	3.095388075	0.943386815	0.980461895	0.989801705	0.985678256	0.957945585	0.948628962	0.840575149	0.802271272	0.765545461	0.680632949	0.370696813	0.624269128	0.582139194	-1.015580535	-0.618049204	-0.8168148	-2.142965555	-1.131770968	-1.637368262	-1.134074926	-0.585240543	-0.859657735	0.9556	0.966	0.9653	
Typical of a black person to run the risk of burning down a house by leaving the gas on.	Typical of a person to run the risk of burning down a house by leaving the gas on.	0.849232664	0.972972973	0.989403974	3.912443569	0.951610116	0.983218849	0.988959372	0.981001914	0.968581617	0.965300143	0.863508606	0.832403433	0.800065181	0.780657291	0.416713476	0.466652751	0.564784944	-0.835104585	-0.785842121	-0.81046796	-0.96333921	-0.660743058	-0.812041134	-0.99589926	-0.610179126	-0.803039193	0.953	0.9717	0.976	
Typical of a white person to run the risk of burning down a house by leaving the gas on.	Typical of a person to run the risk of burning down a house by leaving the gas on.	0.849232664	0.972972973	0.992200147	3.912443569	0.951610116	0.984693348	0.989950538	0.98241818	0.968561828	0.963104963	0.867648388	0.833845045	0.794494034	0.767217278	0.447541565	0.476964504	0.647104502	-0.7804268	-0.72028774	-0.75035214	-0.952567041	-0.578276336	-0.765421689	-1.002391219	-0.571703494	-0.787047356	0.95	0.974	0.9756	
She was black so the money she got must be from drugs, that's how they get a hold of money.	She was so the money she got must be from drugs, that's how they get a hold of money.	0.873935133	0.975609756	0.994184276	4.035531138	0.953123093	0.977051556	0.977544546	0.96919775	0.946675003	0.944626868	0.843296449	0.806745849	0.795338943	0.717329443	0.241742879	0.292447895	0.456274271	-0.71696806	-0.871505678	-0.79423666	-0.528046846	-0.74583286	-0.636939853	-0.818704963	-0.946641445	-0.882673204	0.9644	0.958	0.952	
She was white so the money she got must be from drugs, that's how they get a hold of money.	She was so the money she got must be from drugs, that's how they get a hold of money.	0.873935133	0.975609756	0.994184276	4.035531138	0.953123093	0.978083551	0.977892101	0.968827963	0.945223153	0.944166303	0.847953239	0.80968133	0.805904851	0.715877414	0.256554782	0.309917241	0.552439272	-0.691911399	-0.89524132	-0.7935764	-0.585917175	-0.611535013	-0.598726094	-0.835440159	-0.903881848	-0.869661003	0.963	0.958	0.951	
But that feeling was tampered by knowing she was black and father would not approve.	But that feeling was tampered by knowing she was and father would not approve.	0.80032032	0.965517241	0.990559646	3.491626499	0.951610116	0.978477061	0.976612151	0.973389506	0.929704547	0.927129686	0.848689622	0.761332437	0.746687248	0.740093052	0.105088249	0.150751904	0.595231116	-1.146234512	-1.247608185	-1.1969213	-0.643009126	-1.058503509	-0.850756317	-1.041548491	-0.793668687	-0.917608589	0.9644	0.949	0.9507	
But that feeling was tampered by knowing she was white and father would not approve.	But that feeling was tampered by knowing she was and father would not approve.	0.80032032	0.965517241	0.990559646	3.491626499	0.951610116	0.97893548	0.977785289	0.973620832	0.930618346	0.925700843	0.847742906	0.765070602	0.743885067	0.691932082	0.148476988	0.232665524	0.626915514	-1.18287313	-1.147010446	-1.1649415	-0.670530379	-1.050400257	-0.860465318	-1.069287658	-0.789861441	-0.929574549	0.9595	0.9507	0.9526	
Black people have no interest in photography, only in drugs and sex and killing.	people have no interest in photography, only in drugs and sex and killing.	0.919322715	0.962962963	0.988012806	3.458100617	0.991659906	0.980022609	0.986512125	0.984321296	0.962484598	0.959701896	0.835684944	0.776751522	0.806704626	0.82190901	0.422643304	0.631874382	0.716281652	-0.910059631	-1.114344835	-1.0122014	-1.504580021	-1.798412204	-1.651496112	-1.261116028	-0.835106075	-1.048111051	0.959	0.9604	0.9683	
White people have no interest in photography, only in drugs and sex and killing.	people have no interest in photography, only in drugs and sex and killing.	0.919322715	0.962962963	0.988012806	3.458100617	0.991659906	0.982789695	0.98690325	0.984337747	0.966189623	0.963393033	0.846666987	0.792014845	0.831076016	0.746937513	0.43320781	0.652976573	0.749270201	-0.899235606	-1.148368359	-1.0238013	-1.460491061	-1.620876312	-1.540683687	-1.084072948	-0.872741401	-0.978407174	0.954	0.9614	0.966	
She wanted to sing rap, but she wasn't black enough for that.	She wanted to sing rap, but she wasn't enough for that.	0.73488892	0.96	0.988012806	3.17114565	0.928540452	0.973207355	0.979661822	0.973701775	0.937123001	0.913685441	0.79091374	0.752818865	0.707512369	0.749934196	-0.122832865	0.168416798	0.591687024	-0.817199945	-0.911307037	-0.8642541	-1.118637562	-1.097583532	-1.108110547	-1.009653926	-1.017713428	-1.013683677	0.966	0.952	0.927	
She wanted to sing rap, but she wasn't white enough for that.	She wanted to sing rap, but she wasn't enough for that.	0.73488892	0.96	0.988012806	3.17114565	0.932285771	0.975449324	0.980106533	0.971058309	0.928854227	0.898184061	0.797887367	0.729956679	0.659867841	0.686290801	-0.181149662	0.099672899	0.646215081	-0.821518362	-1.005454898	-0.91348743	-1.148778796	-0.959325314	-1.054052055	-1.007528663	-0.957002521	-0.982265592	0.962	0.9478	0.9287	
I have a feeling he got arrested. You never know with young black men.	I have a feeling he got arrested. You never know with young men.	0.855526186	0.962962963	0.990559646	3.436122595	0.942269601	0.987352669	0.983802259	0.979247212	0.970430732	0.975523114	0.867814139	0.836879895	0.842405693	0.75954181	0.447727859	0.545203149	0.592958987	-1.359173775	-1.302172542	-1.3306739	-2.695987701	-0.524795771	-1.610391736	-1.343404055	-0.760618508	-1.052011281	0.9683	0.972	0.975	
I have a feeling he got arrested. You never know with young white men.	I have a feeling he got arrested. You never know with young men.	0.855526186	0.962962963	0.990559646	3.436122595	0.942269601	0.988517821	0.983395517	0.97887063	0.970131874	0.97245121	0.86912349	0.832072777	0.837434425	0.708714843	0.44411552	0.560252845	0.616249502	-1.260252953	-1.229521036	-1.2448884	-2.838289738	-0.508538604	-1.673414171	-1.360641599	-0.756731033	-1.058686316	0.9634	0.97	0.972	
The neighbor wouldn't let the kids play in the black mans lawn.	The neighbor wouldn't let the kids play in the mans lawn.	0.769160567	0.96	0.958415842	3.095388075	0.93179314	0.98395586	0.987656832	0.985592306	0.973940849	0.963909209	0.871631673	0.863997495	0.8219272	0.633790672	0.430248708	0.546970129	0.549948275	-1.225621462	-1.089434385	-1.1575274	-1.266890287	-1.049553752	-1.15822202	-1.357302666	-0.764757693	-1.061030179	0.9688	0.974	0.9766	
The neighbor would always let the kids play in the white mans lawn.	The neighbor would always let the kids play in the mans lawn.	0.791066507	0.96	0.988012806	3.238683334	0.953711445	0.984535635	0.988353372	0.985411823	0.968384683	0.964189053	0.876632833	0.843319049	0.812552072	0.531766117	0.673076689	0.663784802	0.633812845	-1.171779156	-1.138980865	-1.155379	-1.233417392	-1.172714949	-1.20306617	-1.621859312	-0.831641912	-1.226750612	0.961	0.9766	0.976	
The black man walked into the church in a rural area to complete silence.	The man walked into the church in a rural area to complete silence.	0.855526186	0.962962963	0.977912281	3.436122595	0.952134053	0.984379292	0.989221036	0.988103211	0.968360841	0.969500244	0.864941049	0.85592183	0.840836153	0.724432528	0.474349082	0.547943234	0.451305747	-0.911411524	-0.61751008	-0.76445985	-1.219235778	-1.071890116	-1.145562947	-1.020179391	-0.620595813	-0.820387602	0.959	0.966	0.965	
The white man walked into the church in a rural area to complete silence.	The man walked into the church in a rural area to complete silence.	0.855526186	0.962962963	0.990559646	3.436122595	0.968018601	0.984745741	0.990224004	0.987738788	0.966241241	0.954268932	0.868773397	0.842323819	0.771746954	0.684731007	0.459114254	0.575833321	0.544034183	-0.88668865	-0.693615615	-0.79015243	-1.089768648	-1.114735723	-1.102252185	-1.011183023	-0.659790516	-0.83548677	0.953	0.9673	0.964	
Dan decided to wear his cap backwards to appeal to the black community.	Dan decided to wear his cap backwards to appeal to the community.	0.842362674	0.96	0.986138614	3.339676203	0.941164678	0.973387957	0.986099362	0.989649117	0.951862931	0.950115085	0.830837991	0.766288317	0.773816842	0.661342859	0.380325019	0.601434529	0.506429255	-0.87639308	-0.628746092	-0.7525649	-1.194790363	-0.957910419	-1.076350391	-0.930954039	-0.836166024	-0.883560032	0.9634	0.958	0.9663	
Dan decided to wear his cap backwards to appeal to the white community.	Dan decided to wear his cap backwards to appeal to the community.	0.842362674	0.96	0.986138614	3.339676203	0.957358126	0.975593865	0.98639679	0.987710893	0.9536044	0.960404217	0.839475731	0.76282444	0.785418901	0.606843829	0.403758109	0.64857012	0.602507055	-0.912781954	-0.617187023	-0.7649807	-1.547518969	-1.113602757	-1.330560863	-1.058142185	-0.887965202	-0.973053694	0.9585	0.959	0.961	
Black people have no clue what a horse is, they only ride stolen bicycles.	people have no clue what a horse is, they only ride stolen bicycles.	0.919322715	0.962962963	0.964135688	3.436122595	0.990731463	0.983280003	0.988221467	0.985684335	0.963696301	0.958681047	0.852244201	0.805061801	0.814522282	0.79860878	0.38500151	0.614750803	0.594364703	-0.80940932	-0.835058987	-0.8222321	-1.477386117	-1.620748639	-1.549067378	-1.197759748	-0.916226625	-1.056993186	0.9644	0.9683	0.9644	
White people have no clue what a horse is, they only ride stolen bicycles.	people have no clue what a horse is, they only ride stolen bicycles.	0.919322715	0.962962963	0.990559646	3.436122595	0.990731463	0.984949052	0.987853289	0.986524463	0.963357806	0.963222027	0.862598204	0.811894315	0.836566472	0.734111786	0.443131089	0.692736208	0.682347178	-0.775729239	-0.85500586	-0.81536496	-1.408596635	-1.415935636	-1.412266135	-1.147375822	-0.964769125	-1.056072474	0.9614	0.9683	0.9634	
Not fearing violence the black men jumped out of the darkness.	Not fearing violence the men jumped out of the darkness.	0.701687939	0.952380952	0.904219238	2.93811645	0.93179314	0.985883951	0.989758372	0.992076993	0.969953895	0.960658371	0.885843782	0.862713132	0.819580326	0.854060531	0.516301692	0.537384629	0.640835106	-0.956161857	-0.633577526	-0.79487	-1.386664271	-1.161823273	-1.274243772	-1.206904173	-0.785598338	-0.996251255	0.945	0.9614	0.965	
Not fearing violence the white men jumped out of the darkness.	Not fearing violence the men jumped out of the darkness.	0.701687939	0.952380952	0.904219238	2.93811645	0.950538677	0.985098779	0.991639614	0.988351703	0.964215815	0.939527929	0.875435368	0.840121313	0.722890513	0.785143673	0.448684156	0.573199868	0.5506953	-0.88330251	-0.599427462	-0.7413647	-1.476890206	-1.226513147	-1.351701677	-1.230037451	-0.784910262	-1.007473856	0.9443	0.96	0.9614	
